,icd9_code,icd10_code,rank,reason
1827,64201,O10011,2,"Specific to first trimester, but matches essential hypertension complicating pregnancy."
1828,64201,O10012,3,"Specific to second trimester, but matches essential hypertension complicating pregnancy."
1829,64201,O10013,4,"Specific to third trimester, but matches essential hypertension complicating pregnancy."
1830,64201,O1092,5,"Matches unspecified pre-existing hypertension complicating childbirth, but is less specific."
1831,64201,O10911,6,"Unspecified pre-existing hypertension complicating pregnancy, first trimester; less specific."
1832,64201,O10912,7,"Unspecified pre-existing hypertension complicating pregnancy, second trimester; less specific."
1833,64201,O10913,8,"Unspecified pre-existing hypertension complicating pregnancy, third trimester; less specific."
1834,64203,O10011,1,Directly matches 'pre-existing essential hypertension' and specifies the first trimester.
1835,64203,O10012,2,Directly matches 'pre-existing essential hypertension' and specifies the second trimester.
1836,64203,O10013,3,Directly matches 'pre-existing essential hypertension' and specifies the third trimester.
1837,64203,O10911,4,"Matches 'unspecified pre-existing hypertension' and specifies the first trimester, but lacks specificity."
1838,64203,O10912,5,"Matches 'unspecified pre-existing hypertension' and specifies the second trimester, but lacks specificity."
1839,64203,O10913,6,"Matches 'unspecified pre-existing hypertension' and specifies the third trimester, but lacks specificity."
1840,64204,O1003,1,"This code specifies 'pre-existing essential hypertension' which directly relates to the 'benign essential hypertension' described in the ICD-9 code, and it is relevant to the puerperium."
1841,64204,O1093,2,"While this code is related to hypertension complicating the puerperium, it is less specific as it uses 'unspecified pre-existing hypertension' rather than 'essential hypertension'."
1842,64211,O10411,1,"Directly relates to secondary hypertension complicating pregnancy in the first trimester, aligning with the pregnancy complication aspect."
1843,64211,O10412,2,"Directly relates to secondary hypertension complicating pregnancy in the second trimester, aligning with the pregnancy complication aspect."
1844,64211,O10413,3,"Directly relates to secondary hypertension complicating pregnancy in the third trimester, aligning with the pregnancy complication aspect."
1845,64211,O1042,4,"Relates to pre-existing secondary hypertension complicating childbirth, which is relevant but lacks the antepartum context of the original ICD-9 description."
1846,64213,O10411,1,Directly corresponds to secondary hypertension complicating pregnancy in the first trimester.
1847,64213,O10412,2,Directly corresponds to secondary hypertension complicating pregnancy in the second trimester.
1848,64213,O10413,3,Directly corresponds to secondary hypertension complicating pregnancy in the third trimester.
1849,64221,O10111,1,"Specific to pre-existing hypertensive heart disease complicating pregnancy, matches the condition and complicating factor."
1850,64221,O10112,2,"Specific to pre-existing hypertensive heart disease complicating pregnancy, matches the condition and complicating factor."
1851,64221,O10113,3,"Specific to pre-existing hypertensive heart disease complicating pregnancy, matches the condition and complicating factor."
1852,64221,O1012,4,"Covers pre-existing hypertensive heart disease complicating childbirth, relevant to childbirth context."
1853,64221,O10211,5,"Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy, matches condition but with different organ involvement."
1854,64221,O10212,6,"Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy, matches condition but with different organ involvement."
1855,64221,O10213,7,"Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy, matches condition but with different organ involvement."
1856,64221,O1022,8,"Covers pre-existing hypertensive chronic kidney disease complicating childbirth, relevant to childbirth context."
1857,64221,O10311,9,"Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, matches condition and complicating factors."
1858,64221,O10312,10,"Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, matches condition and complicating factors."
1859,64221,O10313,11,"Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, matches condition and complicating factors."
1860,64221,O1032,12,"Covers pre-existing hypertensive heart and chronic kidney disease complicating childbirth, relevant to childbirth context."
1861,64221,O111,13,"Specific to pre-existing hypertension with pre-eclampsia complicating pregnancy, relevant but different complication."
1862,64221,O112,14,"Specific to pre-existing hypertension with pre-eclampsia complicating pregnancy, relevant but different complication."
1863,64221,O113,15,"Specific to pre-existing hypertension with pre-eclampsia complicating pregnancy, relevant but different complication."
1864,64223,O111,1,Closest match for pre-existing hypertension complicating pregnancy with specificity for pre-eclampsia.
1865,64223,O112,2,"Similar to O111, specific to second trimester."
1866,64223,O113,3,"Similar to O111, specific to third trimester."
1867,64223,O10111,4,Specific to pre-existing hypertensive heart disease complicating pregnancy in the first trimester.
1868,64223,O10112,5,Specific to pre-existing hypertensive heart disease complicating pregnancy in the second trimester.
1869,64223,O10113,6,Specific to pre-existing hypertensive heart disease complicating pregnancy in the third trimester.
1870,64223,O10211,7,Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy in the first trimester.
1871,64223,O10212,8,Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy in the second trimester.
1872,64223,O10213,9,Specific to pre-existing hypertensive chronic kidney disease complicating pregnancy in the third trimester.
1873,64223,O10311,10,Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy in the first trimester.
1874,64223,O10312,11,Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy in the second trimester.
1875,64223,O10313,12,Specific to pre-existing hypertensive heart and chronic kidney disease complicating pregnancy in the third trimester.
1876,64224,O1033,1,"Includes both heart and chronic kidney disease, matching the complexity of the hypertension condition."
1877,64224,O1013,2,"Specifically addresses hypertensive heart disease, relevant but less comprehensive than O1033."
1878,64224,O1023,3,"Focuses on chronic kidney disease only, which is less relevant than the heart condition in this context."
1879,64231,O134,1,"directly relates to hypertension complicating childbirth, matching the delivery context"
1880,64231,O131,2,"relates to gestational hypertension during the first trimester, which is relevant but does not match the delivery aspect"
1881,64231,O132,3,"relates to gestational hypertension during the second trimester, relevant but less so than first trimester"
1882,64231,O133,4,"relates to gestational hypertension during the third trimester, relevant but less so than earlier trimesters"
1883,64231,O161,5,"unspecified maternal hypertension in the first trimester, less relevant due to lack of specificity"
1884,64231,O162,6,"unspecified maternal hypertension in the second trimester, less relevant due to lack of specificity"
1885,64231,O163,7,"unspecified maternal hypertension in the third trimester, less relevant due to lack of specificity"
1886,64232,O135,1,Directly relates to gestational hypertension with a specific mention of postpartum complication.
1887,64232,O131,2,Refers to gestational hypertension but lacks specificity regarding postpartum status.
1888,64232,O132,3,Refers to gestational hypertension but lacks specificity regarding postpartum status.
1889,64232,O133,4,Refers to gestational hypertension but lacks specificity regarding postpartum status.
1890,64233,O131,1,"Specific to gestational hypertension in the first trimester, closely related to transient hypertension of pregnancy."
1891,64233,O132,2,"Specific to gestational hypertension in the second trimester, relevant to transient hypertension of pregnancy."
1892,64233,O133,3,"Specific to gestational hypertension in the third trimester, relevant to transient hypertension of pregnancy."
1893,64233,O161,4,Unspecified maternal hypertension in the first trimester; less specific than gestational hypertension codes.
1894,64233,O162,5,Unspecified maternal hypertension in the second trimester; less specific than gestational hypertension codes.
1895,64233,O163,6,Unspecified maternal hypertension in the third trimester; less specific than gestational hypertension codes.
1896,64234,O135,1,Directly corresponds to transient hypertension of pregnancy as a postpartum complication.
1897,64234,O131,2,"Related to pregnancy-induced hypertension but refers to the first trimester, which is less relevant."
1898,64234,O132,3,"Related to pregnancy-induced hypertension but refers to the second trimester, which is less relevant."
1899,64234,O133,4,"Related to pregnancy-induced hypertension but refers to the third trimester, which is less relevant."
1900,64241,O1404,1,Directly matches 'mild or unspecified pre-eclampsia' and specifies complication during childbirth.
1901,64241,O1403,2,Mild to moderate pre-eclampsia in the third trimester; close to unspecified pre-eclampsia.
1902,64241,O1402,3,Mild to moderate pre-eclampsia in the second trimester; less relevant due to trimester specificity.
1903,64241,O1494,4,Unspecified pre-eclampsia complicating childbirth; relevant to the childbirth context.
1904,64241,O1493,5,Unspecified pre-eclampsia in the third trimester; not directly related to childbirth.
1905,64241,O1492,6,Unspecified pre-eclampsia in the second trimester; least relevant due to trimester specificity.
1906,64242,O1405,1,"Directly matches 'mild or unspecified pre-eclampsia' and mentions 'complicating the puerperium', aligning with postpartum complications."
1907,64242,O1495,2,"Matches 'unspecified pre-eclampsia' and includes 'complicating the puerperium', relevant to postpartum context."
1908,64242,O1402,3,"Describes 'mild to moderate pre-eclampsia' but is limited to the second trimester, lacking postpartum context."
1909,64242,O1403,4,"Describes 'mild to moderate pre-eclampsia' but is limited to the third trimester, lacking postpartum context."
1910,64243,O1402,1,"Mild pre-eclampsia, second trimester is specific to mild pre-eclampsia and indicates a specific time frame that aligns with antepartum conditions."
1911,64243,O1403,2,"Mild pre-eclampsia, third trimester is also specific to mild pre-eclampsia and indicates a specific time frame that aligns with antepartum conditions."
1912,64243,O1492,3,"Unspecified pre-eclampsia, second trimester aligns with the unspecified nature of the ICD-9 description, though it is not as specific as mild pre-eclampsia."
1913,64243,O1493,4,"Unspecified pre-eclampsia, third trimester aligns with the unspecified nature of the ICD-9 description, but it is less relevant than the second trimester option."
1914,64244,O1405,1,Directly matches 'mild' pre-eclampsia and specifies that it complicates the puerperium.
1915,64244,O1495,2,Matches 'unspecified' pre-eclampsia and indicates it complicates the puerperium.
1916,64244,O152,3,"Related to eclampsia, which is a more severe condition than pre-eclampsia; thus, it is not a good match."
1917,64251,O1414,1,"Directly relates to severe pre-eclampsia complicating childbirth, matching the delivery aspect of the ICD-9 description."
1918,64251,O1413,2,Severe pre-eclampsia in the third trimester aligns with the diagnosis and delivery context.
1919,64251,O1412,3,Severe pre-eclampsia in the second trimester is relevant but does not specifically address delivery.
1920,64251,O1424,4,HELLP syndrome complicating childbirth is related but not synonymous with pre-eclampsia.
1921,64251,O1423,5,HELLP syndrome in the third trimester is somewhat relevant but does not address delivery.
1922,64251,O1422,6,HELLP syndrome in the second trimester is the least relevant and does not relate to delivery.
1923,64252,O1415,1,Directly corresponds to severe pre-eclampsia with mention of postpartum complication (complicating the puerperium).
1924,64252,O1413,2,"Severe pre-eclampsia during the third trimester, closely related to the condition described."
1925,64252,O1412,3,"Severe pre-eclampsia during the second trimester, relevant but not as specific as third trimester."
1926,64252,O1425,4,"HELLP syndrome complicating the puerperium, which is relevant to postpartum complications."
1927,64252,O1423,5,"HELLP syndrome during the third trimester, which is related but not directly about postpartum complications."
1928,64252,O1422,6,"HELLP syndrome during the second trimester, less relevant to the postpartum context."
1929,64253,O1412,1,"Directly corresponds to severe pre-eclampsia in the second trimester, matching the antepartum condition."
1930,64253,O1413,2,"Directly corresponds to severe pre-eclampsia in the third trimester, matching the antepartum condition."
1931,64253,O1422,3,Related condition (HELLP syndrome) during the second trimester but not a direct match for pre-eclampsia.
1932,64253,O1423,4,Related condition (HELLP syndrome) during the third trimester but not a direct match for pre-eclampsia.
1933,64254,O1415,1,"Directly corresponds to severe pre-eclampsia complicating the puerperium, aligning with postpartum condition."
1934,64254,O1425,2,"Related to HELLP syndrome complicating the puerperium, which is a severe condition associated with pre-eclampsia."
1935,64254,O1412,3,"Refers to severe pre-eclampsia in the second trimester, relevant but not postpartum."
1936,64254,O1413,4,"Refers to severe pre-eclampsia in the third trimester, relevant but not postpartum."
1937,64254,O1422,5,"Refers to HELLP syndrome in the second trimester, relevant but not postpartum."
1938,64254,O1423,6,"Refers to HELLP syndrome in the third trimester, relevant but not postpartum."
1939,64261,O1503,1,Eclampsia in the third trimester is a direct match to the delivery context in the ICD-9 description.
1940,64261,O1502,2,Eclampsia in the second trimester is relevant but not as specific as third trimester delivery.
1941,64261,O151,3,Eclampsia complicating labor relates to delivery but lacks specificity regarding the timing of the pregnancy.
1942,64263,O1503,1,"Directly related to eclampsia occurring during the third trimester, which aligns with the antepartum condition described in ICD-9 code."
1943,64263,O1502,2,"Related to eclampsia in the second trimester; while it is a complication of pregnancy, it is not as relevant as the third trimester option for antepartum conditions."
1944,64271,O114,1,Directly correlates to pre-eclampsia or eclampsia superimposed on pre-existing hypertension during childbirth.
1945,64271,O111,2,"Relates to pre-existing hypertension with pre-eclampsia in the first trimester, but does not address childbirth."
1946,64271,O112,3,"Relates to pre-existing hypertension with pre-eclampsia in the second trimester, but does not address childbirth."
1947,64271,O113,4,"Relates to pre-existing hypertension with pre-eclampsia in the third trimester, but does not address childbirth."
1948,64273,O111,1,"Specific to first trimester, matching the antepartum context of the ICD-9 description."
1949,64273,O112,2,"Specific to second trimester, matching the antepartum context of the ICD-9 description."
1950,64273,O113,3,"Specific to third trimester, matching the antepartum context of the ICD-9 description."
1951,64291,O164,1,Directly matches the description of unspecified hypertension complicating childbirth.
1952,64291,O161,2,"Related to unspecified maternal hypertension, but specific to the first trimester."
1953,64291,O162,3,"Related to unspecified maternal hypertension, but specific to the second trimester."
1954,64291,O163,4,"Related to unspecified maternal hypertension, but specific to the third trimester."
1955,64292,O165,1,Directly matches the concept of unspecified maternal hypertension complicating the puerperium.
1956,64292,O169,2,"While it describes unspecified maternal hypertension, it lacks the specificity regarding the puerperium, making it a less precise match."
1957,64293,O161,1,"The code specifies unspecified maternal hypertension during the first trimester, which is relevant to the antepartum condition."
1958,64293,O162,2,"The code specifies unspecified maternal hypertension during the second trimester, which is also relevant to the antepartum condition."
1959,64293,O163,3,"The code specifies unspecified maternal hypertension during the third trimester, which is relevant to the antepartum condition."
1960,64294,O165,1,"Directly corresponds to unspecified hypertension complicating the puerperium, which aligns with the postpartum condition in the ICD-9 description."
1961,64294,O161,2,"Pertains to unspecified maternal hypertension in the first trimester, which is relevant to pregnancy but not as closely related to postpartum conditions."
1962,64294,O162,3,"Pertains to unspecified maternal hypertension in the second trimester, related to pregnancy but less relevant than first trimester."
1963,64294,O163,4,"Pertains to unspecified maternal hypertension in the third trimester, relevant to pregnancy but does not address the postpartum aspect."
1964,64403,O6003,1,"Specific to preterm labor occurring in the third trimester, closely related to the concept of threatened premature labor."
1965,64403,O6002,2,"Specific to preterm labor occurring in the second trimester, which is relevant but less directly aligned with the antepartum complication indicated by the ICD-9 code."
1966,64413,O471,1,"Directly relates to false labor at or after 37 weeks, which aligns with the concept of threatened labor."
1967,64413,O4703,2,"Relates to false labor in the third trimester, which is a relevant time frame for threatened labor."
1968,64413,O4702,3,"Refers to false labor in the second trimester, which is less relevant to the concept of threatened labor than the third trimester."
1969,64421,O6012X0,1,"Directly relates to early delivery in the second trimester, matching the ICD-9 description of early onset of delivery."
1970,64421,O6013X0,2,"Related to preterm labor and delivery, but specifies third trimester which is less relevant than second trimester."
1971,64421,O6014X0,3,"Specifies preterm labor and delivery in the third trimester, which does not align with the early delivery focus of the ICD-9 description."
1972,64611,O1201,1,"Gestational edema, first trimester is a direct match in meaning to edema in pregnancy without hypertension."
1973,64611,O1202,2,"Gestational edema, second trimester is relevant as it relates to edema in pregnancy, albeit in a different trimester."
1974,64611,O1203,3,"Gestational edema, third trimester is also relevant, corresponding to the same condition in a later stage of pregnancy."
1975,64611,O1204,4,"Gestational edema, complicating childbirth is related to edema during childbirth but slightly diverges from the original diagnosis."
1976,64611,O2601,5,"Excessive weight gain in pregnancy, first trimester matches the excessive weight gain aspect but lacks specificity for edema."
1977,64611,O2602,6,"Excessive weight gain in pregnancy, second trimester is similar to the previous one but in a different trimester."
1978,64611,O2603,7,"Excessive weight gain in pregnancy, third trimester again corresponds to excessive weight gain but is less directly related to the edema aspect."
1979,64611,O1221,8,"Gestational edema with proteinuria, first trimester introduces proteinuria, which is not mentioned in the original diagnosis."
1980,64611,O1222,9,"Gestational edema with proteinuria, second trimester similarly introduces proteinuria, making it less relevant."
1981,64611,O1223,10,"Gestational edema with proteinuria, third trimester also adds proteinuria, diverging from the original diagnosis."
1982,64611,O1224,11,"Gestational edema with proteinuria, complicating childbirth introduces complications not present in the original diagnosis."
1983,64612,O1205,1,"Matches the context of edema during the postpartum period, which is relevant to the mention of postpartum complication."
1984,64612,O1201,2,"Specific to gestational edema in the first trimester, relevant but less so than postpartum complications."
1985,64612,O1202,3,"Specific to gestational edema in the second trimester, relevant but less so than postpartum complications."
1986,64612,O1203,4,"Specific to gestational edema in the third trimester, relevant but less so than postpartum complications."
1987,64612,O1224,5,"Refers to gestational edema with proteinuria complicating childbirth, which does not align well with the provided ICD-9 description."
1988,64613,O1201,1,"Gestational edema, first trimester matches the description of edema without mention of hypertension."
1989,64613,O1202,2,"Gestational edema, second trimester is relevant as it reflects edema in pregnancy."
1990,64613,O1203,3,"Gestational edema, third trimester is relevant as it reflects edema in pregnancy."
1991,64613,O2601,4,"Excessive weight gain in pregnancy, first trimester is relevant as it reflects excessive weight gain."
1992,64613,O2602,5,"Excessive weight gain in pregnancy, second trimester is relevant as it reflects excessive weight gain."
1993,64613,O2603,6,"Excessive weight gain in pregnancy, third trimester is relevant as it reflects excessive weight gain."
1994,64613,O1221,7,"Gestational edema with proteinuria, first trimester is related but includes proteinuria, which is not specified."
1995,64613,O1222,8,"Gestational edema with proteinuria, second trimester is related but includes proteinuria, which is not specified."
1996,64613,O1223,9,"Gestational edema with proteinuria, third trimester is related but includes proteinuria, which is not specified."
1997,64614,O1201,1,"Direct match to the condition of edema in pregnancy during the first trimester, with no complications mentioned."
1998,64614,O1202,2,"Direct match to the condition of edema in pregnancy during the second trimester, with no complications mentioned."
1999,64614,O1203,3,"Direct match to the condition of edema in pregnancy during the third trimester, with no complications mentioned."
2000,64614,O1205,4,"While it describes edema, it specifies a complication during the puerperium, which is not applicable here."
2001,64614,O1225,5,"Describes edema with proteinuria complicating the puerperium, which is not applicable to the original condition."
2002,64621,O26831,1,"This code specifies pregnancy related renal disease during the first trimester, which is a specific condition relevant to the renal disease in pregnancy."
2003,64621,O26832,2,"This code specifies pregnancy related renal disease during the second trimester, which is relevant to the renal disease in pregnancy."
2004,64621,O26833,3,"This code specifies pregnancy related renal disease during the third trimester, which is relevant to the renal disease in pregnancy."
2005,64621,O1214,4,"This code refers to gestational proteinuria complicating childbirth, which is not a direct match to unspecified renal disease in pregnancy."
2006,64622,O1215,1,"Gestational proteinuria is a type of renal disease that can occur during the puerperium, aligning with the unspecified renal disease in pregnancy."
2007,64622,O26831,2,"Pregnancy related renal disease in the first trimester is related to renal issues during pregnancy, although it specifies a time frame."
2008,64622,O26832,3,Pregnancy related renal disease in the second trimester is related to renal issues during pregnancy but specifies a different trimester.
2009,64622,O26833,4,Pregnancy related renal disease in the third trimester is related to renal issues during pregnancy but specifies a different trimester.
2010,64623,O26831,1,"Specific to pregnancy-related renal disease in the first trimester, aligns with unspecified renal disease in pregnancy."
2011,64623,O26832,2,"Specific to pregnancy-related renal disease in the second trimester, aligns with unspecified renal disease in pregnancy."
2012,64623,O26833,3,"Specific to pregnancy-related renal disease in the third trimester, aligns with unspecified renal disease in pregnancy."
2013,64624,O9089,1,"This code captures 'other complications of the puerperium', which can include unspecified renal issues, aligning with the broad nature of 'unspecified renal disease in pregnancy'."
2014,64624,O1215,2,"While this code specifies 'gestational proteinuria', it does not directly correlate to the unspecified nature of renal disease without hypertension or other conditions."
2015,64631,O2621,1,"Directly relates to recurrent pregnancy loss in the first trimester, matching the condition described."
2016,64631,O2622,2,"Pertains to recurrent pregnancy loss in the second trimester, relevant but not as specific to the context of the provided ICD-9 code."
2017,64631,O2623,3,"Refers to recurrent pregnancy loss in the third trimester, which is less relevant than the first and second trimester codes."
2018,64633,O2621,1,Directly addresses recurrent pregnancy loss specifically in the first trimester.
2019,64633,O2622,2,Directly addresses recurrent pregnancy loss specifically in the second trimester.
2020,64633,O2623,3,Directly addresses recurrent pregnancy loss specifically in the third trimester.
2021,64641,O26821,1,Specificity to first trimester aligns with the pregnancy context.
2022,64641,O26822,2,Specificity to second trimester aligns with the pregnancy context.
2023,64641,O26823,3,Specificity to third trimester aligns with the pregnancy context.
2024,64651,O2341,1,"While the code specifies a first trimester infection, it relates to urinary tract infections in pregnancy, which aligns with asymptomatic bacteriuria."
2025,64651,O2342,2,"This code also relates to urinary tract infections in pregnancy but specifies the second trimester, making it less directly relevant than the first trimester code."
2026,64651,O2343,3,"Similar to the other codes, this one pertains to urinary tract infections in pregnancy but focuses on the third trimester, making it the least relevant for asymptomatic bacteriuria."
2027,64653,O2341,1,"The description includes 'infection of urinary tract in pregnancy' which is relevant to the condition of asymptomatic bacteriuria, particularly in the context of the first trimester."
2028,64653,O2342,2,"Similar to O2341, this code pertains to an infection of the urinary tract in pregnancy, specifically during the second trimester, which is relevant but less specific to the original condition."
2029,64653,O2343,3,"This code addresses an infection of the urinary tract during the third trimester, which is the least relevant to asymptomatic bacteriuria in pregnancy as it does not specify the antepartum condition."
2030,64661,O2391,1,"Matches the general condition of genitourinary tract infection in pregnancy, with a focus on the first trimester."
2031,64661,O2392,2,"Matches the general condition of genitourinary tract infection in pregnancy, with a focus on the second trimester."
2032,64661,O2393,3,"Matches the general condition of genitourinary tract infection in pregnancy, with a focus on the third trimester."
2033,64662,O2393,1,"Specifically relates to the third trimester, aligning with the delivery mention in the ICD-9 description."
2034,64662,O2392,2,"Pertains to the second trimester, which is relevant but less specific than the third trimester."
2035,64662,O2391,3,"Relates to the first trimester, which is the least applicable given the context of delivery and postpartum complications."
2036,64663,O2391,1,"Specific to the first trimester, matching the antepartum condition focus of the ICD-9 code."
2037,64663,O2392,2,"Specific to the second trimester, matching the antepartum condition focus of the ICD-9 code."
2038,64663,O2393,3,"Specific to the third trimester, matching the antepartum condition focus of the ICD-9 code."
2039,64664,O8620,1,"Directly refers to urinary tract infection following delivery, which is a specific type of infection related to the genitourinary tract in the context of pregnancy."
2040,64664,O8621,2,"Refers specifically to kidney infection following delivery, still within the scope of genitourinary infections related to pregnancy."
2041,64664,O8622,3,"Addresses bladder infection following delivery, also related to genitourinary infections in the postpartum context."
2042,64664,O8629,4,"Covers other urinary tract infections following delivery, providing a broader category of urinary infections that can occur postpartum."
2043,64664,O8611,5,"Cervicitis is an infection of the cervix, which is part of the genitourinary tract, but is less directly related to the general category of genitourinary infections postpartum."
2044,64664,O8613,6,"Vaginitis following delivery pertains to infections of the vaginal area, which is related but not as closely aligned with the broader term 'genitourinary tract infections.'"
2045,64664,O8619,7,"Describes other infections of the genital tract following delivery, but lacks specificity and does not directly reference urinary tract infections, which is a significant part of the original ICD-9 code."
2046,64671,O2662,1,"Directly corresponds to liver and biliary tract disorders in childbirth, matching the delivery context."
2047,64671,O26611,2,"Relates to liver and biliary tract disorders in pregnancy, but specifies the first trimester, which is less relevant."
2048,64671,O26612,3,"Relates to liver and biliary tract disorders in pregnancy, but specifies the second trimester, which is less relevant."
2049,64671,O26613,4,"Relates to liver and biliary tract disorders in pregnancy, but specifies the third trimester, which is less relevant."
2050,64673,O26611,1,Specific to liver and biliary tract disorders in pregnancy during the first trimester.
2051,64673,O26612,2,Specific to liver and biliary tract disorders in pregnancy during the second trimester.
2052,64673,O26613,3,Specific to liver and biliary tract disorders in pregnancy during the third trimester.
2053,64681,O9989,1,"This code captures 'Other specified diseases and conditions complicating pregnancy', which closely aligns with the concept of 'Other specified complications of pregnancy'."
2054,64681,O26891,2,"This code for 'Other specified pregnancy related conditions, first trimester' is somewhat relevant but is limited to the first trimester."
2055,64681,O26892,3,"This code for 'Other specified pregnancy related conditions, second trimester' is relevant but limited to the second trimester."
2056,64681,O26893,4,"This code for 'Other specified pregnancy related conditions, third trimester' is relevant but limited to the third trimester."
2057,64681,O2611,5,"This code relates to low weight gain in pregnancy during the first trimester, which is not a direct match but could be considered a complication."
2058,64681,O2612,6,"This code relates to low weight gain in pregnancy during the second trimester, which is not a direct match but could be considered a complication."
2059,64681,O2613,7,"This code relates to low weight gain in pregnancy during the third trimester, which is not a direct match but could be considered a complication."
2060,64681,O2641,8,This code for herpes gestationis during the first trimester does not closely match the general complications but is still a pregnancy complication.
2061,64681,O2642,9,This code for herpes gestationis during the second trimester does not closely match the general complications but is still a pregnancy complication.
2062,64681,O2643,10,This code for herpes gestationis during the third trimester does not closely match the general complications but is still a pregnancy complication.
2063,64681,O26811,11,This code for pregnancy related exhaustion and fatigue during the first trimester is a condition but not specifically a complication.
2064,64681,O26812,12,This code for pregnancy related exhaustion and fatigue during the second trimester is a condition but not specifically a complication.
2065,64681,O26813,13,This code for pregnancy related exhaustion and fatigue during the third trimester is a condition but not specifically a complication.
2066,64682,O26891,1,no_good_match
2067,64682,O26892,2,no_good_match
2068,64682,O26893,3,no_good_match
2069,64683,O9989,1,"This code directly relates to other specified diseases and conditions complicating pregnancy, aligning closely with the general description of complications."
2070,64683,O26891,2,"This code refers to other specified pregnancy-related conditions, which fits under the umbrella of complications during pregnancy."
2071,64683,O26892,3,"This code also pertains to other specified pregnancy-related conditions, but is more specific to the second trimester."
2072,64683,O26893,4,"Similar to O26892, this code addresses other specified pregnancy-related conditions, specifically for the third trimester."
2073,64683,O26811,5,"This code discusses pregnancy-related exhaustion and fatigue, which can be considered a complication."
2074,64683,O26812,6,"Similar to O26811, but for the second trimester; it is relevant as it addresses a condition that can complicate pregnancy."
2075,64683,O26813,7,"Similar to O26811 and O26812 but specific to the third trimester, relevant as it relates to complications."
2076,64683,O2611,8,"While it discusses low weight gain in the first trimester, it is a specific condition that may not directly relate to the general category of complications."
2077,64683,O2612,9,"Similar to O2611, but for the second trimester; it is specific but not broadly applicable to the general complications category."
2078,64683,O2613,10,"Similar to O2611 and O2612, but for the third trimester; it is specific but less relevant to the overall complications."
2079,64683,O2641,11,Herpes gestationis is a specific condition that may not relate to the broader category of other specified complications.
2080,64683,O2642,12,Similar to O2641 but for the second trimester; still a specific condition that may not broadly relate to complications.
2081,64683,O2643,13,"Similar to O2641 and O2642, but for the third trimester; still too specific to be broadly applicable to the general complications."
2082,64703,O98111,1,"Specific to syphilis complicating pregnancy in the first trimester, aligning with the antepartum condition context."
2083,64703,O98112,2,"Specific to syphilis complicating pregnancy in the second trimester, relevant to the antepartum condition."
2084,64703,O98113,3,"Specific to syphilis complicating pregnancy in the third trimester, relevant to the antepartum condition."
2085,64711,O9822,1,"Directly matches the concept of gonorrhea complicating childbirth, aligning closely with the ICD-9 description."
2086,64711,O98211,2,"Matches the concept of gonorrhea complicating pregnancy, specifically in the first trimester, which is relevant but less specific than childbirth."
2087,64711,O98212,3,"Matches the concept of gonorrhea complicating pregnancy, specifically in the second trimester, relevant but less specific than childbirth."
2088,64711,O98213,4,"Matches the concept of gonorrhea complicating pregnancy, specifically in the third trimester, relevant but less specific than childbirth."
2089,64721,O9832,1,Directly related to complications during childbirth and addresses infections with a sexual mode of transmission.
2090,64721,O98311,2,Relates to complications during the first trimester of pregnancy with a sexual mode of transmission.
2091,64721,O98312,3,Relates to complications during the second trimester of pregnancy with a sexual mode of transmission.
2092,64721,O98313,4,Relates to complications during the third trimester of pregnancy with a sexual mode of transmission.
2093,64723,O98311,1,"Directly relates to infections with a sexual mode of transmission complicating pregnancy, specifically in the first trimester."
2094,64723,O98312,2,"Directly relates to infections with a sexual mode of transmission complicating pregnancy, specifically in the second trimester."
2095,64723,O98313,3,"Directly relates to infections with a sexual mode of transmission complicating pregnancy, specifically in the third trimester."
2096,64761,O9852,1,"Directly corresponds to 'Other viral diseases complicating childbirth', matching the ICD-9 description."
2097,64761,O98511,2,"Related to viral diseases complicating pregnancy, specifically in the first trimester."
2098,64761,O98512,3,"Related to viral diseases complicating pregnancy, specifically in the second trimester."
2099,64761,O98513,4,"Related to viral diseases complicating pregnancy, specifically in the third trimester."
2100,64761,O9842,5,"Specifically refers to viral hepatitis complicating childbirth, which is a specific type of viral disease."
2101,64762,O9853,1,"This code directly corresponds to 'Other viral diseases complicating the puerperium,' aligning closely with the ICD-9 description of other viral diseases in the mother."
2102,64762,O9843,2,"While this code relates to viral hepatitis, it is more specific to hepatitis rather than encompassing all other viral diseases, making it a less suitable match."
2103,64763,O98511,1,"Specifically addresses 'other viral diseases' complicating pregnancy during the first trimester, aligning with the antepartum condition description."
2104,64763,O98512,2,"Specifically addresses 'other viral diseases' complicating pregnancy during the second trimester, which is a relevant antepartum condition."
2105,64763,O98513,3,"Specifically addresses 'other viral diseases' complicating pregnancy during the third trimester, still relevant to antepartum conditions."
2106,64764,O9853,1,"This code directly aligns with 'Other viral diseases complicating the puerperium,' which is a more specific match to the ICD-9 description."
