original_name,clean,counts
Bydureon BCise,bydureon bcise,14
Byetta,byetta,6
Byetta ,byetta,6
Byetta (250mcg/ml),byetta (250mcg/ml),18
Byetta (Exenatide),byetta (exenatide),18
Byetta (exenatide),byetta (exenatide),18
Bystolic,bystolic,8
Bystolic (nebivolol),bystolic (nebivolol),20
C,UNK,1
C-Vitamin Cocktail,c-vitamin cocktail,18
CABAZItaxel,cabazitaxel,11
CAFFEINE-SODIUM BENZOATE,caffeine-sodium benzoate,24
CALCIUM 500+D,calcium 500+d,13
CARBOplatin,carboplatin,11
CARBOplatin Desensitization,carboplatin desensitization,27
CARBOplatin*,carboplatin,11
CARDura XL,cardura xl,10
CARMOL 20,carmol 20,9
CARVedilol,carvedilol,10
CARtia XT,cartia xt,9
CELEBREX,celebrex,8
CELECOXIB,celecoxib,9
CILOSTAZOL,cilostazol,10
CIPRO I.V.,cipro i.v.,10
CIPRODEX,ciprodex,8
CIPROFLOXACIN,ciprofloxacin,13
CISAPRIDE,cisapride,9
CISplatin,cisplatin,9
CISplatin Desensitization ,cisplatin desensitization,25
CLAZOSENTAN,clazosentan,11
CLOBEX,clobex,6
COLACE Clear,colace clear,12
COMBIVENT RESPIMAT,combivent respimat,18
CONCERTA,concerta,8
COQ10 (300 mg),coq10 (300mg),13
COQ10 (300 mg) ,coq10 (300mg),13
COQ10 (300mg),coq10 (300mg),13
COQ10 200 mg,coq10 200mg,11
COQ10 200 mg CAPS,coq10 200mg,11
COQ10 200 mg caps,coq10 200mg,11
COQ10 200 mg capsule,coq10 200mg,11
COQ10 200 mg liquid,coq10 200mg,11
COQ10 200mg,coq10 200mg,11
COQ10 200mg caps,coq10 200mg,11
COQ10 300 mg,coq10 300mg,11
COQ10 300 mgs,coq10 300mgs,12
COQ10 300mg,coq10 300mg,11
COQ10 300mg ,coq10 300mg,11
COQ10/Lipoic Acid/B2/B6/C/D,coq10/lipoic acid/b2/b6/c/d,27
COVID-19 Vaccine,covid-19 vaccine,16
COVID-19 Vaccine (Janssen),covid-19 vaccine (janssen),26
COVID-19 Vaccine (Moderna),covid-19 vaccine (moderna),26
COVID-19 Vaccine (PFIZER),covid-19 vaccine (pfizer),25
"COVID-19 vac,Ad26(Janssen)-PF",covid-19 vacad26(janssen)-pf,28
"COVID-19 vacc,mRNA(Moderna)-PF",covid-19 vaccmrna(moderna)-pf,29
CRLX101,crlx101,7
CRRT,crrt,4
CRRT-Pharmacy to Dose Medications,crrt-pharmacy to medications,28
CSL112 or Albumin,csl112 albumin,14
CVS Fiber Laxative Plus Calcium,cvs fiber laxative plus calcium,31
CVS Health Prenatal Gummy,cvs health prenatal,19
CVS Spectravite,cvs spectravite,15
CVS Ultra Strength Probiotic (Probiotic Blend),cvs ultra strength probiotic (probiotic blend),46
CYCLOSPORINE 0.05%,cyclosporine 0.05%,18
CYCLOSPORINE 0.05% OPHTH EMULSION,cyclosporine 0.05% emulsion,27
Cabazitaxel,cabazitaxel,11
Cabergoline,cabergoline,11
Cabometyx,cabometyx,9
Cabozantinib,cabozantinib,12
Cabozantinib     ,cabozantinib,12
Cabozantinib (CaBOMETYX),cabozantinib (cabometyx),24
Caduet,caduet,6
Caffeine,caffeine,8
Caffeine-Sodium Benzoate,caffeine-sodium benzoate,24
Cal-Citrate (calcium citrate-vitamin D2),cal-citrate (calcium citrate-vitamin d2),40
Calamine,calamine,8
Calan SR,calan sr,8
Calciferol,calciferol,10
Calcijex,calcijex,8
Calcimate ,calcimate,9
Calcipotriene 0.005% Cream,calcipotriene 0.005%,20
Calcipotriene 0.005% Oint,calcipotriene 0.005%,20
Calcitonin (Salmon),calcitonin,10
Calcitonin Salmon,calcitonin,10
Calcitonin Salmon (Test Dose),calcitonin,10
Calcitrate,calcitrate,10
Calcitrate 500 IU,calcitrate 500 iu,17
Calcitrate-Vitamin D,calcitrate-vitamin d,20
Calcitri,calcitri,8
Calcitriol,calcitriol,10
Calcitriol Oral Solution *NF*,calcitriol,10
Calcium,calcium,7
Calcium ,calcium,7
Calcium 500 + D (D3),calcium 500 + d (d3),20
Calcium 600,calcium 600,11
Calcium 600 + D,calcium 600 + d,15
Calcium 600 + D (D3),calcium 600 + d (d3),20
Calcium 600 + D(3),calcium 600 + d(3),18
Calcium 600 + D(3) ,calcium 600 + d(3),18
Calcium 600 + D(3) 800U,calcium 600 + d(3) 800u,23
Calcium 600 with Vitamin D3,calcium 600 with vitamin d3,27
Calcium 600+D3 Plus,calcium 600+d3 plus,19
Calcium Acetate,calcium acetate,15
Calcium Carbonate,calcium carbonate,17
Calcium Carbonate ,calcium carbonate,17
Calcium Carbonate  750,calcium carbonate 750,21
Calcium Carbonate (Tums),calcium carbonate (tums),24
Calcium Carbonate (Walgreens),calcium carbonate (walgreens),29
Calcium Carbonate 1000mg tab,calcium carbonate 1000mg,24
Calcium Carbonate 500 (Walgreens) ,calcium carbonate 500 (walgreens),33
Calcium Carbonate 750mg,calcium carbonate 750mg,23
Calcium Carbonate Suspension,calcium carbonate,17
Calcium Carbonate-Vitamin D3,calcium carbonate-vitamin d3,28
Calcium Chlori 1gm/10mL 10mL SYR,calcium chloride 1gm/10ml 10ml,30
Calcium Chloride,calcium chloride,16
Calcium Chloride (Bristojet),calcium chloride (bristojet),28
Calcium Chloride (For Overdose Use Only),calcium chloride (overdose),27
Calcium Citrate,calcium citrate,15
Calcium Citrate +,calcium citrate +,17
Calcium Citrate + D,calcium citrate + d,19
Calcium Citrate + D 630mg-13mcg,calcium citrate + d 630mg-13mcg,31
Calcium Citrate + D with Mag,calcium citrate + d with mag,28
Calcium Citrate + D with Mag    ,calcium citrate + d with mag,28
Calcium Citrate + Vit D,calcium citrate + vit d,23
"Calcium Citrate, Magnesium citrate, vitamin C",calcium citrate magnesium citrate vitamin c,43
Calcium Disodium Versenate,calcium disodium versenate,26
Calcium Gluc,calcium gluconate,17
Calcium Gluco,calcium gluconate,17
Calcium Gluco 2g/100mL 100mL BAG,calcium gluconate 2g/100ml 100ml,32
Calcium Gluconate,calcium gluconate,17
Calcium Gluconate ,calcium gluconate,17
Calcium Gluconate (Per Endocrine 5.5 g / 500 mL bag),calcium gluconate (per endocrine 5.5 g/500ml),45
Calcium Gluconate (Premix),calcium gluconate (premix),26
Calcium Gluconate Replacement (Critical Care and Oncology),calcium gluconate replacement (critical care and oncology),58
Calcium Gluconate Replacement (Oncology),calcium gluconate replacement (oncology),40
Calcium Gluconate sliding scale (Critical Care-Ionized calcium),calcium gluconate sliding scale (critical care-ionized calcium),63
Calcium Gluconate sliding scale – Ionized calcium,calcium gluconate sliding scale – ionized calcium,49
Calcium Lactate,calcium lactate,15
Calcium Magnesium,calcium magnesium,17
Calcium Replacement (Oncology),calcium replacement (oncology),30
Calcium carbonate,calcium carbonate,17
Calcium citrate,calcium citrate,15
Calcium with Vitamin D,calcium with vitamin d,22
Calcium-Mag Oxide-Vitamin D3,calcium-mag oxide-vitamin d3,28
Calciumcitrate,calciumcitrate,14
Calmoseptine,calmoseptine,12
Calquence (Acalabrutinib),calquence (acalabrutinib),25
Caltrate,caltrate,8
Caltrate + D3 Plus Minerals,caltrate + d3 plus minerals,27
Caltrate 600 plus D3 800,caltrate 600 plus d3 800,24
Caltrate 600+D,caltrate 600+d,14
Caltrate 600+D Plus Minerals,caltrate 600+d plus minerals,28
Caltrate with Vitamin D3,caltrate with vitamin d3,24
Caltrate-600 + D Vit D3 (800),caltrate-600 + d vit d3 (800),29
Caltrate-600 Plus Vitamin D3,caltrate-600 plus vitamin d3,28
Camila,camila,6
Camila (Norethindrone),camila (norethindrone),22
Camila (Norethindrone) 0.35mg tab,camila (norethindrone) 0.35mg,29
Camila (norethindrone),camila (norethindrone),22
Camila 0.35mg,camila 0.35mg,13
Camila norethindrone (contraceptive),camila norethindrone (contraceptive),36
Camphor-Menthol,camphor-menthol,15
Camrese,camrese,7
Canagliflozin,canagliflozin,13
Canasa,canasa,6
Candesartan,candesartan,11
Candesartan ,candesartan,11
Candesartan (Atacand) 32mg TAB,candesartan (atacand) 32mg,26
Candesartan 8 mg TAB,candesartan 8mg,15
Candida Skin Test,candida skin,12
Cangrelo,cangrelo,8
Cangrelor,cangrelor,9
Cannabidiol,cannabidiol,11
Cannabidiol (CBD) (Epidiolex) Oral Soln,cannabidiol (cbd) (epidiolex),29
Cantil,cantil,6
Cantron,cantron,7
Capecitabine,capecitabine,12
Caphosol,caphosol,8
Caplacizumab-yhdp,caplacizumab-yhdp,17
Caplyta,caplyta,7
Capoten,capoten,7
Capreomycin,capreomycin,11
Capsaicin 0.025%,capsaicin 0.025%,16
Capt,captopril,9
Capto,captopril,9
Captop,captopril,9
Captopr,captopril,9
Captopril,captopril,9
Captopril (Capoten),captopril (capoten),19
CarBAMaze,carbamazepine,13
CarBAMazepine,carbamazepine,13
CarBAMazepine (Extended-Release),carbamazepine (extended-release),32
CarBAMazepine Chewable Tabs,carbamazepine,13
CarBAMazepine Suspension,carbamazepine,13
Carac,carac,5
CarafATE,carafate,8
CarafATE (sucralfate),carafate (sucralfate),21
CarafATE 1g/10ml,carafate 1g/10ml,16
CarafATE 1gm/10ml,carafate 1gm/10ml,17
CarafATE 1gm/10ml Liquid,carafate 1gm/10ml,17
Carafate,carafate,8
Carafate 100mg/ml,carafate 100mg/ml,17
Carafate Suspension 100mg/ml,carafate 100mg/ml,17
Carb,carbamazepine,13
Carbam,carbamazepine,13
Carbamazep,carbamazepine,13
Carbamazepin,carbamazepine,13
Carbamazepine,carbamazepine,13
Carbamazepine ,carbamazepine,13
Carbamazepine (Extended-Release),carbamazepine (extended-release),32
Carbamazepine Chewable Tabs,carbamazepine,13
Carbamazepine ER,carbamazepine er,16
Carbamazepine ER 400mg Tab,carbamazepine er 400mg,22
Carbamazepine Rectal Suspension,carbamazepine,13
Carbamazepine Suspension,carbamazepine,13
Carbamazepine XR,carbamazepine xr,16
Carbamazepine XR ,carbamazepine xr,16
Carbamide Peroxide 6.5%,carbamide peroxide 6.5%,23
Carbatrol,carbatrol,9
Carbatrol ER,carbatrol er,12
Carbi,carbi,5
Carbidopa,carbidopa,9
Carbidopa-Levodopa,carbidopa-levodopa,18
Carbidopa-Levodopa ,carbidopa-levodopa,18
Carbidopa-Levodopa (10-100),carbidopa-levodopa (10-100),27
Carbidopa-Levodopa (25- 1TAB TAB,carbidopa-levodopa (25- 1tab,28
Carbidopa-Levodopa (25-100),carbidopa-levodopa (25-100),27
Carbidopa-Levodopa (25-100) ODT,carbidopa-levodopa (25-100) odt,31
Carbidopa-Levodopa (25-250),carbidopa-levodopa (25-250),27
Carbidopa-Levodopa (25-250) ODT,carbidopa-levodopa (25-250) odt,31
Carbidopa-Levodopa CR ,carbidopa-levodopa cr,21
Carbidopa-Levodopa CR (25-100),carbidopa-levodopa cr (25-100),30
Carbidopa-Levodopa CR (50-200),carbidopa-levodopa cr (50-200),30
Carbidopa-Levodopa ODT,carbidopa-levodopa odt,22
Carbidopa-Levodopa-Entacapone,carbidopa-levodopa-entacapone,29
Carboprost Tromethamine,carboprost tromethamine,23
Carboxymethylcellulose Sodium,carboxymethylcellulose sodium,29
Carbozantinib) Cabometyx,carbozantinib) cabometyx,24
Cardizem CD,cardizem cd,11
Cardura XL,cardura xl,10
Carfilzomib,carfilzomib,11
Carisoprodol,carisoprodol,12
Carmustine,carmustine,10
Carnitor,carnitor,8
Carteolol 1% Ophth Soln,carteolol 1%,12
Cartia XT,cartia xt,9
Carvedilol,carvedilol,10
Carvedilol 80mg  (Coreg Cr),carvedilol 80mg (coreg cr),26
Carvedilol Phosphate,carvedilol phosphate,20
Casirivimab 1200mg + Imdevimab 1200mg in 0.9% NaCl 250ml ,casirivimab 1200mg + imdevimab 1200mg in 0.9% nacl 250ml,56
Casirivimab AND Imdevimab,casirivimab and imdevimab,25
Casirivimab with Imdevimab ,casirivimab with imdevimab,26
Casirivimab-Imdevimab (EUA),casirivimab-imdevimab (eua),27
Casodex,casodex,7
Casodex (Bicalutamide),casodex (bicalutamide),22
Casodex (bicalutamide),casodex (bicalutamide),22
Caspofungin,caspofungin,11
Caspofungin Desensitization,caspofungin desensitization,27
Castor Oil,castor oil,10
Catapres,catapres,8
Catapres-TTS-3,catapres-tts-3,14
Cayston,cayston,7
Caziant (28),caziant,7
CeFAZolin,cefazolin,9
CeFAZolin Desensitization,cefazolin desensitization,25
CeFAZolin Duple 2g/50mL 50mL BAG,cefazolin duple 2g/50ml 50ml,28
CeFAZolin Graded Challenge,cefazolin graded challenge,26
CeFAZolin-Heparin Lock (For HD/Pheresis Catheter),cefazolin-heparin lock (hd/pheresis catheter),45
Cediranib,cediranib,9
CefTAZidime,ceftazidime,11
CefTAZidime 2mg/0.1mL,ceftazidime 2mg/0.1ml,21
CefTAZidime Desensitization,ceftazidime desensitization,27
CefTAZidime Graded Challenge,ceftazidime graded challenge,28
CefTAZidime Ophth Soln 50mg/mL,ceftazidime 50mg/ml,19
CefTAZidime-Avibactam (Avycaz),ceftazidime-avibactam (avycaz),30
CefTAZidime-Heparin Lock,ceftazidime-heparin lock,24
CefTRIAXone,ceftriaxone,11
CefTRIAXone Desensitization,ceftriaxone desensitization,27
CefTRIAXone Graded Challenge,ceftriaxone graded challenge,28
Cefadroxil,cefadroxil,10
CefazoLIN,cefazolin,9
CefazoLIN Desensitization,cefazolin desensitization,25
CefazoLIN-Heparin Lock (For HD/Pheresis Catheter),cefazolin-heparin lock (hd/pheresis catheter),45
Cefazolin,cefazolin,9
Cefazolin 2 gr,cefazolin 2 gr,14
CefePIME,cefepime,8
Cefepime,cefepime,8
Cefepime Desensitization,cefepime desensitization,24
Cefepime Graded Challenge,cefepime graded challenge,25
Cefoxitin,cefoxitin,9
Cefpodo,cefpodoxime,11
Cefpodoxim,cefpodoxime,11
Cefpodoxime,cefpodoxime,11
Cefpodoxime Proxetil,cefpodoxime proxetil,20
Ceftaroline,ceftaroline,11
Ceftaroline Desensitization,ceftaroline desensitization,27
Ceftaroline Graded Challenge,ceftaroline graded challenge,28
CeftazIDIME,ceftazidime,11
Ceftazidime,ceftazidime,11
Ceftolozane-Tazobactam,ceftolozane-tazobactam,22
Ceftolozane-Tazobactam Graded Challenge,ceftolozane-tazobactam graded challenge,39
CeftriaXONE,ceftriaxone,11
CeftriaXONE Desensitization,ceftriaxone desensitization,27
Ceftriaxone,ceftriaxone,11
Ceftriaxone (1gm/0gm),ceftriaxone (1gm/0gm),21
Ceftriaxone 1 gm 1gm,ceftriaxone 1 gm 1gm,20
Ceftriaxone 1 gm/0gm,ceftriaxone 1 gm/0gm,20
Ceftriaxone 1 gr 0 gr,ceftriaxone 1 gr 0 gr,21
Ceftriaxone 1 gr/0gr,ceftriaxone 1 gr/0gr,20
Ceftriaxone 1gm 0 mg,ceftriaxone 1gm 0mg,19
Ceftriaxone 1gm/0gm,ceftriaxone 1gm/0gm,19
Ceftriaxone 1gm/ogm,ceftriaxone 1gm/ogm,19
Ceftriaxone 1gr/0gr,ceftriaxone 1gr/0gr,19
Cefuroxime Axetil,cefuroxime axetil,17
CeleBREX,celebrex,8
CeleBREX 200mg,celebrex 200mg,14
CeleXA,celexa,6
CeleXA (Citalopram),celexa (citalopram),19
Celebrate,celebrate,9
Celebrex,celebrex,8
Celecoxib,celecoxib,9
Celecoxib 200mg,celecoxib 200mg,15
Celestone Soluspan,celestone soluspan,18
Celexa,celexa,6
CellCept,cellcept,8
Celontin,celontin,8
Celontin (methsuximide),celontin (methsuximide),23
Cem 102 300mg tab,cem 102 300mg,13
Cenestin,cenestin,8
Centravites 50 Plus,centravites 50 plus,19
Centrum Kids,centrum kids,12
Centrum Silver,centrum silver,14
Centrum Silver Multivitamin,centrum silver multivitamin,27
Centrum Silver Ultra Mens,centrum silver ultra mens,25
Centrum Specialist Prenatal DHA Softgel,centrum specialist prenatal dha softgel,39
Centrum Specialist Prenatal Multivitamin w/Folic Acid tab,centrum specialist prenatal multivitamin w/folic acid,53
Centrum Women,centrum women,13
Cep,cepacol,7
Cepa,cepacol,7
Cepacol,cepacol,7
Cepacol (Menthol),cepacol (menthol),17
Cepacol (Sore Throat Lozenge),cepacol,7
Cepacol Dual Relief,cepacol,7
Cepacol Sore Throat (benz-men),cepacol,7
Cepastat (Phenol),cepastat,8
Cepastat (Phenol) Lozenge,cepastat,8
Cephalexin,cephalexin,10
Cephalexin Desensitization,cephalexin desensitization,26
CeraVe,cerave,6
CeraVe Acne,cerave acne,11
CeraVe Itch Relief,cerave itch,11
Cerefolin NAC,cerefolin nac,13
Cerezyme,cerezyme,8
Cetaphil,cetaphil,8
Cetaphil Moisturizing,cetaphil moisturizing,21
Cetir,cetirizine,10
Cetiri,cetiri,6
Cetirizine,cetirizine,10
Cetirizine-Pseudoephedrine,cetirizine-pseudoephedrine,26
Cetuximab,cetuximab,9
Cetuximab Desensitization,cetuximab desensitization,25
Cetylpyridinium Chloride 0.05% Oral Rinse,cetylpyridinium chloride 0.05%,30
Cevimeline,cevimeline,10
Chantix,chantix,7
Chantix (Varenicline),chantix (varenicline),21
Chantix (Varenicline) 1mg  Tab,chantix (varenicline) 1mg,25
Chantix (varenicline),chantix (varenicline),21
Chantix 0.5mg Tab,chantix 0.5mg,13
Chantix 1 mg,chantix 1mg,11
Chantix 1mg,chantix 1mg,11
Chantix Continuing Month Box,chantix continuing month box,28
Chantix Continuing Month Pak,chantix continuing month,24
Chantix Starting Month Box,chantix starting month box,26
Charcoal Aqueous (Activated),charcoal aqueous (activated),28
Charcoal-Sorbitol,charcoal-sorbitol,17
Chelated Zinc,chelated zinc,13
Chenix (chenodiol),chenix (chenodiol),18
Chewable Multi Vitamin,multi vitamin,13
Chloral Hydrate,chloral hydrate,15
Chloral hydrate,chloral hydrate,15
Chlorambucil,chlorambucil,12
Chloramphenicol Na Succ,chloramphenicol na succ,23
Chloraseptic,chloraseptic,12
Chloraseptic Throat Spray,chloraseptic,12
ChlordiazePOXIDE,chlordiazepoxide,16
Chlordiazepoxide (with clidinium),chlordiazepoxide (with clidinium),33
Chlordiazepoxide HCl,chlordiazepoxide hcl,20
Chlorhexidine Gluconate,chlorhexidine gluconate,23
Chlorhexidine Gluconate 0.12% Oral Rinse,chlorhexidine gluconate 0.12%,29
Chloroprocaine 2%,chloroprocaine 2%,17
Chloroprocaine 2% MPF,chloroprocaine 2% mpf,21
Chloroprocaine 3% MPF,chloroprocaine 3% mpf,21
Chloroquine,chloroquine,11
Chlorothiazide,chlorothiazide,14
Chlorpheniramine Maleate,chlorpheniramine maleate,24
Chlorpheniramine-Hydrocodone,chlorpheniramine-hydrocodone,28
ChlorproMAZIN,chlorpromazin,13
ChlorproMAZINE,chlorpromazine,14
ChlorproMAZINE *NF*,chlorpromazine,14
Chlorpromazine,chlorpromazine,14
Chlorthali,chlorthali,10
Chlorthalidone,chlorthalidone,14
Chlorzoxazone,chlorzoxazone,13
Cholecalciferol (vitamin D3) Adult Gummies,cholecalciferol (vitamin d3),28
Cholestyramine,cholestyramine,14
Cholestyramine Light,cholestyramine light,20
Choline Magnesium Trisalicylate,choline magnesium trisalicylate,31
Chondroitin Sulfate A,chondroitin sulfate a,21
Chromium,chromium,8
Cialis,cialis,6
Ciclesonide 50mcg Nasal Spray,ciclesonide 50mcg,17
Ciclodan,ciclodan,8
Ciclopirox,ciclopirox,10
Ciclopirox Cream,ciclopirox,10
Cidofovir,cidofovir,9
Cidofovir 1% Topical Paste,cidofovir 1% topical paste,26
Cilgavimab (EUA),cilgavimab (eua),16
Cilostaz,cilostazol,10
Cilostazol,cilostazol,10
Cilostazol (Pletal),cilostazol (pletal),19
Ciloxan,ciloxan,7
Cimetidine,cimetidine,10
Cimzia,cimzia,6
Cinacalcet,cinacalcet,10
Cinacalcet HCl,cinacalcet hcl,14
Cinnamon,cinnamon,8
Cinryze,cinryze,7
Cinryze (C1 estrase inhibitor),cinryze (c1 estrase inhibitor),30
Cipro,cipro,5
Ciprodex,ciprodex,8
Ciprofl,ciprofloxacin,13
Ciproflox,ciprofloxacin,13
Ciprofloxacin,ciprofloxacin,13
Ciprofloxacin ,ciprofloxacin,13
Ciprofloxacin 0.3% Ophth Soln,ciprofloxacin 0.3%,18
Ciprofloxacin 0.3% Soln,ciprofloxacin 0.3%,18
Ciprofloxacin HCl,ciprofloxacin hcl,17
Ciprofloxacin Oral Desensitization,ciprofloxacin desensitization,29
Ciprofloxacin-Dexamethasone 0.3-0.1%,ciprofloxacin-dexamethasone 0.3-0.1%,36
Ciprofloxacin-Heparin Lock,ciprofloxacin-heparin lock,26
Cisat,cisatracurium,13
Cisatracurium,cisatracurium,13
Cisatracurium Besylate,cisatracurium besylate,22
Citalop,citalop,7
Citalopram,citalopram,10
Citalopram ,citalopram,10
Citalopram Hydrobromide,citalopram hydrobromide,23
Citracal,citracal,8
Citracal *Calcium Citrate + D3*,citracal calcium citrate + d3,29
Citracal + Bone Density,citracal + bone density,23
Citracal + D,citracal + d,12
Citracal + D Maximum,citracal + d maximum,20
Citracal + D Petites,citracal + d petites,20
Citracal + D Slow Release,citracal + d slow release,25
Citracal + D3,citracal + d3,13
Citracal Chew,citracal chew,13
Citracal D + Heart Health,citracal d + heart health,25
Citracal Maximum +D3,citracal maximum +d3,20
Citracal Plus Magnesium,citracal plus magnesium,23
Citracal Regular,citracal,8
Citracal-D3 Maximum Plus,citracal-d3 maximum plus,24
Citracal-D3 Petites,citracal-d3 petites,19
Citrate Dextrose 3% (ACD-A) CRRT,citrate dextrose 3% (acd-a) crrt,32
Citrucel,citrucel,8
Citrucel Sugar Free,citrucel,8
Cladribine,cladribine,10
Claravis,claravis,8
Clarinex,clarinex,8
Clarinex (desloratidine),clarinex (desloratidine),24
Clarinex 5mg,clarinex 5mg,12
Clarithromycin,clarithromycin,14
Claritin,claritin,8
Claritin RediTabs,claritin reditabs,17
Claritin-D 12 Hour,claritin-d 12 hour,18
Claritin-D 12 Hour  5-120,claritin-d 12 hour 5-120,24
Claritin-D 24 Hour,claritin-d 24 hour,18
Clear Eyes For Dry Eyes,clear eyes dry eyes,19
Clear Eyes Itchy Eye Relief,clear eyes itchy,16
Clenia,clenia,6
Clenia Topical Scrub,clenia topical scrub,20
Clenpiq,clenpiq,7
Cleocin T,cleocin t,9
Clevidipine,clevidipine,11
Clidinium-Chlordiazepoxide,clidinium-chlordiazepoxide,26
Climara,climara,7
Climara 0.025mg/24hr,climara 0.025mg/24hr,20
Clinda,clindamycin,11
Clindagel,clindamycin,11
Clindamyci,clindamycin,11
Clindamycin,clindamycin,11
Clindamycin 1% Solution,clindamycin 1%,14
Clindamycin Gel,clindamycin gel,15
Clindamycin Phosphate,clindamycin phosphate,21
Clindamycin Solution,clindamycin,11
Clindamycin Suspension,clindamycin,11
Clindamycin-Benzoyl Peroxide,clindamycin-benzoyl peroxide,28
CloNIDine,clonidine,9
CloNIDine 0.1mg TAB,clonidine 0.1mg,15
Clobazam,clobazam,8
Clobetasol,clobetasol,10
Clobetasol Propionate ,clobetasol propionate,21
Clobetasol Propionate 0.05% Cream,clobetasol propionate 0.05%,27
Clobetasol Propionate 0.05% Gel,clobetasol propionate 0.05% gel,31
Clobetasol Propionate 0.05% Ointment,clobetasol propionate 0.05%,27
Clobetasol Propionate 0.05% Soln,clobetasol propionate 0.05%,27
Clofarabine,clofarabine,11
Clofazamine,clofazamine,11
Clofazime,clofazime,9
Clofazimine,clofazimine,11
Clofazimine ,clofazimine,11
ClomiPRAMINE,clomipramine,12
Clomid,clomid,6
ClonazePAM,clonazepam,10
ClonazePAM (Klonopin),clonazepam (klonopin),21
ClonazePAM 1mg TAB,clonazepam 1mg,14
Clonazepam,clonazepam,10
CloniDINE,clonidine,9
Clonidine,clonidine,9
Clonidine (PF),clonidine (pf),14
Clonidine 7-Day Patch 0.1 mg/24 hr,clonidine 7-day patch 0.1mg/24 hr,33
Clonidine 7-Day Patch 0.2 mg/24 hr,clonidine 7-day patch 0.2mg/24 hr,33
Clonidine 7-Day Patch 0.3 mg/24 hr,clonidine 7-day patch 0.3mg/24 hr,33
Clonidine Patch,clonidine patch,15
Clonidine Patch 0.1,clonidine patch 0.1,19
Clonidine Patch 0.1 mg/24 hr,clonidine patch 0.1mg/24 hr,27
Clonidine Patch 0.2 mg/24 hr,clonidine patch 0.2mg/24 hr,27
Clonidine Patch 0.3 mg/24 hr,clonidine patch 0.3mg/24 hr,27
Clonidine TTS 1 Patch,clonidine tts 1 patch,21
Clonidine TTS 2 Patch,clonidine tts 2 patch,21
Clonidine TTS 3 Patch,clonidine tts 3 patch,21
Clopidigrel 75mg po,clopidigrel 75mg po,19
Clopidog,clorazepate,11
Clopidogrel,clorazepate,11
Clopidogrel ,clorazepate,11
Clopidogrel 150 mg,clorazepate 150mg,17
Clopidogrel 150mg,clorazepate 150mg,17
Clopidogrel 75 mg,clorazepate 75mg,16
Clopidogrel 75mg,clorazepate 75mg,16
Clopidogrel Bisulfate,clorazepate bisulfate,21
Clopidogrel Desensitization,clorazepate desensitization,27
Clopidogrel75mg,clopidogrel75mg,15
Clopidogril 75mg,clopidogril 75mg,16
Clopidopgrel 75mg ,clopidopgrel 75mg,17
Clorazepate Dipotassium,clorazepate dipotassium,23
Clotrim Antifungal,clotrim antifungal,18
Clotrimazole,clotrimazole,12
Clotrimazole ,clotrimazole,12
Clotrimazole 1% Solution,clotrimazole 1%,15
Clotrimazole 1% Vaginal Cream,clotrimazole 1% vaginal,23
Clotrimazole Cream,clotrimazole,12
Clozapine,clozapine,9
Co Q-10,co q-10,7
CoEnzyme Q10 (300 mg),coenzyme q10 (300mg),20
CoEnzyme Q10 (300 mg) ,coenzyme q10 (300mg),20
CoQ10,coq10,5
CoQ10  200 mg,coq10 200mg,11
CoQ10 (300 mg),coq10 (300mg),13
CoQ10 (300mg),coq10 (300mg),13
CoQ10 (300mg) ,coq10 (300mg),13
CoQ10 200 mg,coq10 200mg,11
CoQ10 200 mg cap,coq10 200mg,11
CoQ10 200 mg caps,coq10 200mg,11
CoQ10 200mg,coq10 200mg,11
CoQ10 200mg ,coq10 200mg,11
CoQ10 200mg caps,coq10 200mg,11
CoQ10 200mg liquid,coq10 200mg,11
CoQ10 300mg,coq10 300mg,11
CoQ10:200 mg,coq10:200mg,11
CoVID-19 Vaccine 1st Dose by Pharmacy,covid-19 vaccine 1st by pharmacy,32
CoVID-19 Vaccine per Pharmacy,covid-19 vaccine per pharmacy,29
Coal Tar 3% Shampoo,coal tar 3% shampoo,19
Cobicistat,cobicistat,10
Cobimetinib/Ipatasertib,cobimetinib/ipatasertib,23
Cocaine 4% Soln,cocaine 4%,10
Cocaine HCl,cocaine hcl,11
Cod Liver Oil,cod liver oil,13
Code,code,4
Code ATS99,code ats99,10
Code EPA/DHA 26,code epa/dha 26,15
Code LUT/ZEA03,code lut/zea03,14
Codeine,codeine,7
Codeine Elixir,codeine elixir,14
Codeine Elixir 15mg/5ml,codeine elixir 15mg/5ml,23
Codeine Phosphate,codeine phosphate,17
Codeine Sulfate,codeine sulfate,15
Codeine-Guaifenesin,codeine-guaifenesin,19
Coenzyme,coenzyme,8
Coenzyme Q10,coenzyme q10,12
Coenzyme Q10 ,coenzyme q10,12
Coenzyme Q10 200 mg liquid ,coenzyme q10 200mg,18
Coenzyme Q10 300 mg,coenzyme q10 300mg,18
"Coenzyme Q10, B2, B6, C, D and lipoic acid ",coenzyme q10 b2 b6 c d and lipoic acid,38
Colace,colace,6
Colace Clear,colace clear,12
Colazal,colazal,7
Colazal (Balsalazide),colazal (balsalazide),21
Colchi,colchicine,10
Colchicine,colchicine,10
Colcrys,colcrys,7
Colesevelam,colesevelam,11
Colesevelam (Welchol),colesevelam (welchol),21
Colestid,colestid,8
Colestipol,colestipol,10
Colistin,colistin,8
